pathwayRes	pathway	pathwayTitle	TotalGenesinPW	GenesInPWs.rectum_Ensembl_BridgeDb_UC	probabilities.rectum_Ensembl_BridgeDb_UC	GenesInPWs.rectum_Ensembl_Hs_UC	probabilities.rectum_Ensembl_Hs_UC	GenesInPWs.rectum_Ensembl_PriID_BridgeDb_UC	probabilities.rectum_Ensembl_PriID_BridgeDb_UC	GenesInPWs.rectum_ENTREZ_BridgeDb_UC	probabilities.rectum_ENTREZ_BridgeDb_UC	GenesInPWs.rectum_ENTREZ_Hs_UC	probabilities.rectum_ENTREZ_Hs_UC	GenesInPWs.rectum_ENTREZ_PriID_BridgeDb_UC	probabilities.rectum_ENTREZ_PriID_BridgeDb_UC	GenesInPWs.rectum_HGNC_PriID_BridgeDb_UC	probabilities.rectum_HGNC_PriID_BridgeDb_UC	GenesInPWs.rectum_HGNC_UC	probabilities.rectum_HGNC_UC
<https://identifiers.org/wikipathways/WP4288_r120407>	WP4288	MTHFR deficiency	27	8	6.63316733254407e-49	8	8.98275496506517e-49	9	1.46480303718147e-46	8	1.6273253256051e-48	8	6.50573923861034e-49	9	3.4820245781718e-46	9	2.95680588522308e-47	8	3.89737155345736e-50
<https://identifiers.org/wikipathways/WP4290_r118611>	WP4290	Metabolic reprogramming in colon cancer	42	25	7.6986591246985e-39	25	1.00986177844355e-38	26	6.63578257967145e-37	25	1.71870991857647e-38	25	7.56617316361311e-39	26	1.43290030638829e-36	26	1.59977325188141e-37	25	6.09348147508301e-40
<https://identifiers.org/wikipathways/WP4292_r121757>	WP4292	Methionine metabolism leading to sulfur amino acids and related disorders	16	1	6.14937040670821e-44	1	7.81323698792234e-44	1	2.48877133487148e-44	1	1.24921716155813e-43	1	6.0558851126972e-44	1	5.1219968068944e-44	1	6.55724623105711e-45	1	6.55724623105711e-45
<https://identifiers.org/wikipathways/WP4297_r120409>	WP4297	Thiamine metabolic pathways	10	5	4.35012171788489e-15	5	4.71192049846199e-15	5	3.21695228560015e-15	5	5.51052944154852e-15	5	4.32794612109808e-15	5	4.09275004554889e-15	5	2.06162008768117e-15	5	2.06162008768117e-15
<https://identifiers.org/wikipathways/WP4298_r121698>	WP4298	Acute viral myocarditis	98	33	8.80647975851036e-129	33	2.47485077380124e-128	33	1.77607116377704e-130	33	1.87437910288861e-127	33	8.24317361867766e-129	33	4.00147025401861e-129	33	5.60905069439166e-133	33	5.60905069439166e-133
<https://identifiers.org/wikipathways/WP43_r122562>	WP43	Oxidation by cytochrome P450	64	22	5.26972190754272e-91	22	1.02876565165935e-90	22	4.20983138575907e-92	22	3.81616542244251e-90	22	5.04895922622984e-91	22	3.1622624772993e-91	22	1.01315106618973e-93	22	1.01315106618973e-93
<https://identifiers.org/wikipathways/WP430_r122069>	WP430	Statin inhibition of cholesterol production	31	17	3.99454918979248e-34	17	4.99508734163637e-34	17	1.71704449793952e-34	17	7.74068877946323e-34	17	3.93783717402543e-34	17	3.3679288914569e-34	17	4.94417882348821e-35	17	4.94417882348821e-35
<https://identifiers.org/wikipathways/WP4300_r105311>	WP4300	Extracellular vesicles in the crosstalk of cardiac cells	25	12	3.28891626366082e-33	12	4.04764029673487e-33	12	1.50151732056872e-33	12	6.07946865875397e-33	12	3.24553188187217e-33	12	2.80695428971174e-33	12	4.72525230433171e-34	12	4.72525230433171e-34
<https://identifiers.org/wikipathways/WP4301_r97800>	WP4301	Inhibition of exosome biogenesis and secretion by Manumycin A in CRPC cells	18	4	4.60939894918227e-39	4	5.76394212454509e-39	4	1.98133574740453e-39	4	8.93215254857307e-39	4	4.54395769574853e-39	4	3.88632788222305e-39	4	5.70519765579351e-40	4	5.70519765579351e-40
<https://identifiers.org/wikipathways/WP4304_r119229>	WP4304	Oligodendrocyte specification and differentiation, leading to myelin components for CNS	31	12	4.21641636603031e-47	12	5.70994717122778e-47	12	1.34122999548697e-47	12	1.0344200276801e-46	12	4.13541586147221e-47	12	3.34514627439664e-47	12	2.47738981675828e-48	12	2.47738981675828e-48
<https://identifiers.org/wikipathways/WP4312_r119230>	WP4312	Rett syndrome causing genes	49	12	4.25242808986291e-86	12	7.66811058996357e-86	12	4.5853616531414e-87	12	2.43468891845981e-85	12	4.09502733291583e-86	12	2.71124270958103e-86	12	1.71762198267943e-88	12	1.71762198267943e-88
<https://identifiers.org/wikipathways/WP4313_r120500>	WP4313	Ferroptosis	65	27	4.29751431568073e-81	27	7.87347676419762e-81	27	4.36408759393838e-82	27	2.57891786498287e-80	27	4.13424183348058e-81	27	2.70696560689866e-81	27	1.49625915536126e-83	27	1.49625915536126e-83
<https://identifiers.org/wikipathways/WP4316_r120818>	WP4316	miRNA degrading enzymes	3	1	1.74397869555636e-07	1	1.80062539321155e-07	1	1.54562969340109e-07	1	1.91702906503603e-07	1	1.74041622402071e-07	1	1.7019390702409e-07	1	1.29357989828585e-07	1	1.29357989828585e-07
<https://identifiers.org/wikipathways/WP4317_r114309>	WP4317	Mitochondrial fatty acid synthesis pathway	6	1	1.03574326616307e-16	1	1.12188583296715e-16	1	7.65941020380987e-17	1	1.31203081941631e-16	1	1.0304633621662e-16	1	9.74464296559259e-17	1	4.90861925638373e-17	1	4.90861925638373e-17
<https://identifiers.org/wikipathways/WP4320_r116686>	WP4320	Effect of progerin on genes involved in Hutchinson-Gilford progeria syndrome	26	7	1.96538291334641e-49	7	2.66155702668594e-49	8	4.88267679060479e-47	7	4.82170466845961e-49	7	1.92762644106971e-49	8	1.1606748593906e-46	8	9.85601961741005e-48	7	1.15477675657998e-50
<https://identifiers.org/wikipathways/WP4321_r106178>	WP4321	Thermogenesis	108	40	6.31232283152685e-131	40	1.86006182082432e-130	40	1.06423328178338e-132	40	1.54589066332742e-129	40	5.8906596807204e-131	40	2.766210307331e-131	40	2.58019417688418e-135	40	2.58019417688418e-135
<https://identifiers.org/wikipathways/WP4324_r98172>	WP4324	Mitochondrial complex I assembly model OXPHOS system	58	17	1.82193931430964e-91	17	3.50081810140194e-91	19	1.7762086237799e-87	17	1.25884969741033e-90	17	1.74738682216931e-91	19	1.15577775497995e-86	19	5.57407197551663e-89	17	4.06331920292433e-94
<https://identifiers.org/wikipathways/WP4329_r101725>	WP4329	miRNAs involvement in the immune response in sepsis	66	19	2.89965996931432e-102	19	6.12807107871827e-102	20	5.38671982606442e-101	19	2.65540743056917e-101	19	2.7641235056449e-102	20	4.89944891826145e-100	20	9.10172748627619e-103	19	2.65511303566985e-105
<https://identifiers.org/wikipathways/WP4331_r107654>	WP4331	Neovascularisation processes	41	13	1.55130594932744e-66	13	2.42446165205945e-66	13	2.87191469873415e-67	13	5.81595881310342e-66	13	1.50762102147494e-66	13	1.10322208185849e-66	13	2.38756742246652e-68	13	2.38756742246652e-68
<https://identifiers.org/wikipathways/WP4336_r108198>	WP4336	ncRNAs involved in Wnt signaling in hepatocellular carcinoma	93	28	3.07770297248146e-131	28	8.64914902644908e-131	28	6.20704259816495e-133	28	6.55061079421936e-130	28	2.88083781994366e-131	28	1.39844037944776e-131	28	1.96026022523323e-135	28	1.96026022523323e-135
<https://identifiers.org/wikipathways/WP4337_r108190>	WP4337	ncRNAs involved in STAT3 signaling in hepatocellular carcinoma	18	10	1.25418436041539e-21	10	1.42515320976679e-21	10	7.73967120709751e-22	10	1.83073489881228e-21	10	1.24397309254395e-21	10	1.13761220839757e-21	10	3.79853473250619e-22	10	3.79853473250619e-22
<https://identifiers.org/wikipathways/WP4341_r122900>	WP4341	Non-genomic actions of 1,25 dihydroxyvitamin D3	93	40	2.14616094093342e-104	40	4.98813061589749e-104	41	1.35912234669494e-103	40	2.6041346187441e-103	40	2.03343625077716e-104	41	1.646698879619e-102	41	1.35150766110645e-105	40	8.07516964520035e-108
<https://identifiers.org/wikipathways/WP4342_r106136>	WP4342	Vitamins A and D - action mechanisms	3	2	0.000511508951406576	2	0.000519750519750568	2	0.000481540930979215	2	0.000536288880943841	2	0.000510986203372576	2	0.000505305709954593	2	0.000440528634361202	2	0.000440528634361202
<https://identifiers.org/wikipathways/WP4352_r102218>	WP4352	Ciliary landscape	214	58	1.68102602410658e-260	58	1.96927435685362e-259	61	1.85251862943566e-258	58	2.44388308566947e-257	58	1.43614910779399e-260	61	2.68737312405584e-255	61	2.63574038948867e-264	58	1.68523104226194e-270
<https://identifiers.org/wikipathways/WP4357_r98705>	WP4357	NRF2-ARE regulation	23	8	1.88445150099671e-39	8	2.3943371753101e-39	8	7.62674642678861e-40	8	3.82817914595133e-39	8	1.8558032832169e-39	8	1.56961671398476e-39	8	2.00944351783405e-40	8	2.00944351783405e-40
<https://identifiers.org/wikipathways/WP437_r120689>	WP437	EGF/EGFR signaling pathway	162	61	2.61454209669202e-176	61	1.2958362716614e-175	61	6.17790360137486e-179	61	2.982566733236e-174	61	2.36005995262129e-176	61	7.70331172192939e-177	61	8.24048749745819e-183	61	8.24048749745819e-183
<https://identifiers.org/wikipathways/WP438_r119305>	WP438	Non-homologous end joining	10	3	2.52453399299299e-21	3	2.82324160127598e-21	3	1.65474870830481e-21	3	3.51499594414078e-21	3	2.50653840599665e-21	3	2.31796481787851e-21	3	8.87652929915534e-22	3	8.87652929915534e-22
<https://identifiers.org/wikipathways/WP4389_r116629>	WP4389	Bile acids synthesis and enterohepatic circulation 	13	4	3.14045422325347e-26	4	3.62597498922956e-26	4	1.82460234405296e-26	4	4.80588576247015e-26	4	3.11170640401015e-26	4	2.81406077375342e-26	4	8.19313653414472e-27	4	8.19313653414472e-27
<https://identifiers.org/wikipathways/WP4396_r98945>	WP4396	Nonalcoholic fatty liver disease	155	57	2.70539252821722e-173	57	1.27911065300545e-172	58	8.33370263472441e-174	57	2.6843272670026e-171	57	2.44944545010383e-173	58	8.59655055139462e-172	58	1.57863486982673e-177	57	1.32562360576149e-179
<https://identifiers.org/wikipathways/WP4399_r102102>	WP4399	MicroRNA network associated with chronic lymphocytic leukemia	9	2	7.573601978979e-22	2	8.46972480382791e-22	2	4.96424612491445e-22	2	1.05449878324224e-21	2	7.5196152179899e-22	2	6.95389445363552e-22	2	2.66295878974659e-22	2	2.66295878974659e-22
<https://identifiers.org/wikipathways/WP4462_r102079>	WP4462	Platelet-mediated interactions with vascular and circulating cells	19	14	2.00727044982403e-13	14	2.17421474429032e-13	14	1.48439369749836e-13	14	2.54271572802882e-13	14	1.99703799587811e-13	14	1.88851180673184e-13	14	9.51290411887163e-14	14	9.51290411887163e-14
<https://identifiers.org/wikipathways/WP4478_r121699>	WP4478	LTF danger signal response pathway	19	11	2.16631844071749e-21	11	2.46162827141537e-21	12	6.94828982617191e-19	11	3.16217846158487e-21	11	2.14868079621227e-21	12	9.73313427027186e-19	12	3.72725465271529e-19	11	6.56110544705622e-22
<https://identifiers.org/wikipathways/WP4479_r121700>	WP4479	Supression of HMGB1 mediated inflammation by THBD	9	2	7.573601978979e-22	2	8.46972480382791e-22	2	4.96424612491445e-22	2	1.05449878324224e-21	2	7.5196152179899e-22	2	6.95389445363552e-22	2	2.66295878974659e-22	2	2.66295878974659e-22
<https://identifiers.org/wikipathways/WP4480_r121701>	WP4480	Altered glycosylation of MUC1 in tumor microenvironment	9	3	1.48215390728618e-18	3	1.63126899721727e-18	3	1.03190129449887e-18	3	1.96839772871891e-18	3	1.47309262120421e-18	3	1.37756649126517e-18	3	6.0502423703042e-19	3	6.0502423703042e-19
<https://identifiers.org/wikipathways/WP4481_r121702>	WP4481	Resistin as a regulator of inflammation	33	11	2.62149639984879e-54	11	3.72384510292297e-54	12	3.62640774583902e-52	11	7.40840768496896e-54	11	2.56328737042476e-54	12	9.95627175461194e-52	12	5.60893555216746e-53	11	9.85320255101876e-56
<https://identifiers.org/wikipathways/WP4482_r121703>	WP4482	Vitamin D in inflammatory diseases	22	9	3.14591990437121e-34	9	3.87165593600724e-34	9	1.43623395880485e-34	9	5.81514393446031e-34	9	3.10442180005165e-34	9	2.68491279885469e-34	9	4.51980655196953e-35	9	4.51980655196953e-35
<https://identifiers.org/wikipathways/WP4483_r107927>	WP4483	Relationship between inflammation, COX-2 and EGFR	26	9	9.44579570127149e-44	9	1.23904018754358e-43	9	3.38912021232319e-44	9	2.10875458929453e-43	9	9.28324332670476e-44	9	7.67850901423526e-44	9	7.47633843645104e-45	9	7.47633843645104e-45
<https://identifiers.org/wikipathways/WP4484_r107333>	WP4484	Control of immune tolerance by vasoactive intestinal peptide	15	7	1.84438876531673e-22	7	2.09581354377469e-22	7	1.13818694222022e-22	7	2.69225720413575e-22	7	1.82937219491758e-22	7	1.67295912999645e-22	7	5.58608048897971e-23	7	5.58608048897971e-23
<https://identifiers.org/wikipathways/WP4493_r120800>	WP4493	Cells and molecules involved in local acute inflammatory response 	17	13	4.82249660176162e-11	13	5.1408099731667e-11	14	1.686502232851e-08	13	5.82683383149328e-11	13	4.80281798716295e-11	14	1.9486758170801e-08	14	1.29130113158298e-08	13	2.6534883079645e-11
<https://identifiers.org/wikipathways/WP4494_r103559>	WP4494	Selective expression of chemokine receptors during T-cell polarization	29	17	1.48378199708254e-29	17	1.79718086332887e-29	17	7.19474988533034e-30	17	2.61625642339838e-29	17	1.46570415292208e-29	17	1.28186089680536e-29	17	2.47456182013511e-30	17	2.47456182013511e-30
<https://identifiers.org/wikipathways/WP4495_r117759>	WP4495	IL-10 anti-inflammatory signaling pathway 	13	10	8.50141310600155e-09	10	8.9189273027104e-09	10	7.09322997934397e-09	10	9.79753953896285e-09	10	8.47537953464899e-09	10	8.19590123066043e-09	10	5.43106064165789e-09	10	5.43106064165789e-09
<https://identifiers.org/wikipathways/WP4496_r102693>	WP4496	Signal transduction through IL1R	33	16	3.52735075472249e-41	16	4.62695730342233e-41	16	1.26560176790338e-41	16	7.87473848399181e-41	16	3.46664869644774e-41	16	2.86739152773127e-41	16	2.79189481335346e-42	16	2.79189481335346e-42
<https://identifiers.org/wikipathways/WP45_r106424>	WP45	G1 to S cell cycle control	66	25	9.67518651041403e-88	25	1.85906675398408e-87	25	8.20691070581192e-89	25	6.68496777876384e-87	25	9.27928459391822e-88	25	5.8766798429765e-88	25	2.15777610323612e-90	25	2.15777610323612e-90
<https://identifiers.org/wikipathways/WP4504_r119316>	WP4504	Cysteine and methionine catabolism	18	3	3.13617890742118e-42	3	3.98475086384034e-42	3	1.26927338078444e-42	3	6.3710075239464e-42	3	3.08850140747564e-42	3	2.6122183715161e-42	3	3.3441955778391e-43	3	3.3441955778391e-43
<https://identifiers.org/wikipathways/WP4506_r120405>	WP4506	Tyrosine metabolism	4	1	1.1890088260142e-10	1	1.2474024199595e-10	1	9.92060136971183e-11	1	1.37028525020459e-10	1	1.18536776708378e-10	1	1.14627989240006e-10	1	7.5958890093117e-11	1	7.5958890093117e-11
<https://identifiers.org/wikipathways/WP4507_r119314>	WP4507	Molybdenum cofactor (Moco) biosynthesis	8	4	1.41838135345931e-12	4	1.51200293328433e-12	5	1.38888419175966e-09	4	1.71377465632155e-12	4	1.41259352563617e-12	5	1.60479184936009e-09	5	1.06342446130364e-09	4	7.80437737636619e-13
<https://identifiers.org/wikipathways/WP4518_r122628>	WP4518	Gamma-glutamyl cycle for the biosynthesis and degradation of glutathione, including diseases	6	1	1.03574326616307e-16	1	1.12188583296715e-16	1	7.65941020380987e-17	1	1.31203081941631e-16	1	1.0304633621662e-16	1	9.74464296559259e-17	1	4.90861925638373e-17	1	4.90861925638373e-17
<https://identifiers.org/wikipathways/WP4519_r119988>	WP4519	Cerebral organic acidurias, including diseases	8	3	9.66693715085535e-16	3	1.04709344410267e-15	3	7.14878285688919e-16	3	1.2245620981219e-15	3	9.61765804688458e-16	3	9.09500010121972e-16	3	4.5813779726248e-16	3	4.5813779726248e-16
<https://identifiers.org/wikipathways/WP4521_r119311>	WP4521	Glycosylation and related congenital defects	25	7	4.44705679969883e-47	7	5.92708276327367e-47	7	1.5023620894169e-47	7	1.04074640766904e-46	7	4.36607388902298e-47	7	3.57130725966339e-47	7	3.0326214207416e-48	7	3.0326214207416e-48
<https://identifiers.org/wikipathways/WP4522_r119310>	WP4522	Metabolic pathway of LDL, HDL and TG, including diseases	20	11	7.3772124662609e-24	11	8.51774488379013e-24	11	4.28615677912074e-24	11	1.1289462554748e-23	11	7.30968122542014e-24	11	6.61048458125352e-24	11	1.92464225493e-24	11	1.92464225493e-24
<https://identifiers.org/wikipathways/WP4523_r121849>	WP4523	Classical pathway of steroidogenesis with glucocorticoid and mineralocorticoid metabolism	25	2	1.5875994656497e-62	2	2.29138903827608e-62	2	3.9698594004285e-63	2	4.70309215569191e-62	2	1.55076707188415e-62	2	1.19974740177561e-62	2	5.14180103300935e-64	2	5.14180103300935e-64
<https://identifiers.org/wikipathways/WP453_r116780>	WP453	Inflammatory response pathway	33	17	1.22025586991311e-38	17	1.5753428748358e-38	17	4.64996978960264e-39	17	2.59866369971729e-38	18	3.92556976849879e-36	17	1.00409304497552e-38	17	1.12102788211474e-39	17	1.12102788211474e-39
<https://identifiers.org/wikipathways/WP4532_r103287>	WP4532	Intraflagellar transport proteins binding to dynein	27	8	6.63316733254407e-49	8	8.98275496506517e-49	9	1.46480303718147e-46	8	1.6273253256051e-48	8	6.50573923861034e-49	9	3.4820245781718e-46	9	2.95680588522308e-47	8	3.89737155345736e-50
<https://identifiers.org/wikipathways/WP4533_r103380>	WP4533	Transcription co-factors SKI and SKIL protein partners	18	9	2.13550887181237e-24	9	2.46566299267609e-24	9	1.24072959395602e-24	9	3.2680023184797e-24	9	2.11596035472688e-24	9	1.91356132615233e-24	9	5.57133284321839e-25	9	5.57133284321839e-25
<https://identifiers.org/wikipathways/WP4534_r103303>	WP4534	Mechanoregulation and pathology of YAP/TAZ via Hippo and non-Hippo mechanisms	46	17	7.58077463813491e-67	17	1.20375996356386e-66	17	1.32156505587087e-67	17	2.97908606603149e-66	17	7.35980584115127e-67	17	5.32604788998795e-67	17	1.00549315202727e-68	17	1.00549315202727e-68
<https://identifiers.org/wikipathways/WP4535_r109210>	WP4535	Envelope proteins and their potential roles in EDMD physiopathology	46	11	1.60716577435789e-82	11	2.80745544161847e-82	12	1.02000343494228e-80	11	8.37585582728179e-82	11	1.55082676993462e-82	12	5.22387296157263e-80	12	4.98325099912993e-82	11	8.73743600081222e-85
<https://identifiers.org/wikipathways/WP4536_r110928>	WP4536	Genes related to primary cilium development (based on CRISPR)	103	31	3.77519995040863e-142	31	1.18499672182384e-141	32	9.87095805990392e-142	31	1.11461902412316e-140	31	3.50880493850409e-142	32	2.95982822943402e-140	32	1.83744249358284e-144	31	8.54500215007262e-147
<https://identifiers.org/wikipathways/WP4537_r103300>	WP4537	Hippo-Yap signaling pathway	23	10	7.23561578005384e-34	10	8.90480865281671e-34	10	3.30333810525122e-34	10	1.33748310492587e-33	10	7.1401701401188e-34	10	6.17529943736579e-34	10	1.039555506953e-34	10	1.039555506953e-34
<https://identifiers.org/wikipathways/WP4538_r104390>	WP4538	Regulatory circuits of the STAT3 signaling pathway	78	43	2.18529802808047e-70	43	3.81735782230915e-70	43	2.65693622385385e-71	43	1.13888321384632e-69	43	2.10869266649642e-70	43	1.42750218061335e-70	43	1.18804805127726e-72	43	1.18804805127726e-72
<https://identifiers.org/wikipathways/WP4539_r113659>	WP4539	Synaptic signaling pathways associated with autism spectrum disorder	50	16	9.99724592008503e-78	16	1.71882320215968e-77	16	1.29069665421548e-78	16	4.97078050002086e-77	16	9.65660561909169e-78	16	6.61020847829755e-78	16	6.30572914889895e-80	16	6.30572914889895e-80
<https://identifiers.org/wikipathways/WP4540_r120395>	WP4540	Hippo signaling regulation pathways	98	34	1.53569466141782e-126	34	4.2480085635016e-126	34	3.28782114847427e-128	34	3.11918734239532e-125	34	1.43891868902505e-126	34	7.06259499834324e-127	34	1.13401807274267e-130	34	1.13401807274267e-130
<https://identifiers.org/wikipathways/WP4541_r116745>	WP4541	Hippo-Merlin signaling dysregulation	120	49	2.04636063928292e-132	49	6.32268227123488e-132	50	3.63436174917734e-132	49	5.76600066743773e-131	49	1.90388273660483e-132	50	1.03908825697936e-130	50	7.38806131290657e-135	49	5.36923060530977e-137
<https://identifiers.org/wikipathways/WP4542_r120673>	WP4542	Leukocyte-intrinsic Hippo pathway functions	36	17	2.56877058607389e-45	17	3.47867550739418e-45	17	8.17118581865919e-46	17	6.30200509171259e-45	17	2.51942258637384e-45	17	2.03796603794012e-45	17	1.50930210374816e-46	17	1.50930210374816e-46
<https://identifiers.org/wikipathways/WP4545_r121824>	WP4545	Oxysterols derived from cholesterol	52	19	2.68957485500562e-74	19	4.55126291056062e-74	19	3.68727125928315e-75	19	1.27585110300708e-73	19	2.60057471746152e-74	19	1.80006414035325e-74	19	1.96825038370845e-76	19	1.96825038370845e-76
<https://identifiers.org/wikipathways/WP4549_r119333>	WP4549	Fragile X syndrome	112	33	2.7319158588864e-153	33	9.57674609043988e-153	33	2.38966281196127e-155	33	1.11844271394185e-151	33	2.52125844930092e-153	33	1.04854296375685e-153	33	2.19997120068041e-158	33	2.19997120068041e-158
<https://identifiers.org/wikipathways/WP455_r117740>	WP455	GPCRs, class A rhodopsin-like	262	55	0	55	0	55	0	55	0	55	0	55	0	55	0	55	0
<https://identifiers.org/wikipathways/WP4553_r103606>	WP4553	FBXL10 enhancement of MAP/ERK signaling in diffuse large B-cell lymphoma	35	4	6.07211340697218e-79	4	9.9535851000311e-79	7	1.09603655712713e-70	4	2.62174159075167e-78	4	5.88313697589197e-79	7	4.21033303280123e-70	7	9.11190425949128e-72	4	5.98205829219618e-81
<https://identifiers.org/wikipathways/WP4558_r107928>	WP4558	Overview of interferons-mediated signaling pathway	37	10	6.45335309292748e-66	10	9.92644315296674e-66	10	1.26871163651973e-66	10	2.30812932845317e-65	10	6.27801262074782e-66	10	4.64542884841105e-66	10	1.15251465430965e-67	10	1.15251465430965e-67
<https://identifiers.org/wikipathways/WP4559_r104316>	WP4559	Interactions between immune cells and microRNAs in tumor microenvironment	50	22	7.81370713774186e-63	22	1.22116680620552e-62	22	1.44654253341921e-63	22	2.9294156262639e-62	22	7.59367237753141e-63	22	5.55677251110198e-63	22	1.20258370818819e-64	22	1.20258370818819e-64
<https://identifiers.org/wikipathways/WP4560_r108134>	WP4560	MFAP5 effect on permeability and motility of endothelial cells via cytoskeleton rearrangement	18	4	4.60939894918227e-39	4	5.76394212454509e-39	4	1.98133574740453e-39	4	8.93215254857307e-39	4	4.54395769574853e-39	4	3.88632788222305e-39	4	5.70519765579351e-40	4	5.70519765579351e-40
<https://identifiers.org/wikipathways/WP4561_r107544>	WP4561	Cell migration and invasion through p75NTR	30	12	8.00167015527631e-45	12	1.06647077810993e-44	12	2.70322742316212e-45	12	1.87263393398089e-44	12	7.85595613168064e-45	12	6.42591808517143e-45	12	5.45665086091163e-46	12	5.45665086091163e-46
<https://identifiers.org/wikipathways/WP4562_r117956>	WP4562	Canonical NF-kB pathway	8	2	4.94051302428728e-19	2	5.4375633240575e-19	2	3.43967098166293e-19	2	6.56132576239643e-19	2	4.91030873734739e-19	2	4.59188830421729e-19	2	2.01674745676809e-19	2	2.01674745676809e-19
<https://identifiers.org/wikipathways/WP4564_r117803>	WP4564	Neural crest cell migration during development	39	16	1.99567925989001e-54	16	2.88037233506851e-54	16	4.99028013143882e-55	16	5.91198452477709e-54	16	1.94937939275066e-54	16	1.50813291301447e-54	16	6.46346002381573e-56	16	6.46346002381573e-56
<https://identifiers.org/wikipathways/WP4565_r117804>	WP4565	Neural crest cell migration in cancer	42	16	6.73068447542461e-61	16	1.01895886489323e-60	16	1.40522039511242e-61	16	2.29657819031393e-60	16	6.55447774789166e-61	16	4.90428164585813e-61	16	1.39486857903966e-62	16	1.39486857903966e-62
<https://identifiers.org/wikipathways/WP4566_r104315>	WP4566	Translation inhibitors in chronically activated PDGFRA cells	46	20	2.26696954823984e-59	20	3.43196702513112e-59	20	4.73293890973e-60	20	7.7351313103485e-59	20	2.20762115849276e-59	20	1.65181671904919e-59	20	4.6980728394343e-61	20	4.6980728394343e-61
<https://identifiers.org/wikipathways/WP4571_r120383>	WP4571	Urea cycle and related diseases	9	3	1.48215390728618e-18	3	1.63126899721727e-18	3	1.03190129449887e-18	3	1.96839772871891e-18	3	1.47309262120421e-18	3	1.37756649126517e-18	3	6.0502423703042e-19	3	6.0502423703042e-19
<https://identifiers.org/wikipathways/WP4577_r118444>	WP4577	Neurodegeneration with brain iron accumulation (NBIA) subtypes pathway	44	13	6.02056845068303e-73	13	9.86909110683389e-73	13	9.30737292173681e-74	13	2.59948615073615e-72	13	5.83319620273108e-73	13	4.12841772119322e-73	13	5.93127779576518e-75	13	5.93127779576518e-75
<https://identifiers.org/wikipathways/WP4582_r108125>	WP4582	Cancer immunotherapy by CTLA4 blockade	16	10	1.41298672494615e-16	10	1.55514311068044e-16	10	9.83745900755593e-17	10	1.87653916804536e-16	10	1.40434829888136e-16	10	1.31328005500613e-16	10	5.76789772635671e-17	10	5.76789772635671e-17
<https://identifiers.org/wikipathways/WP4583_r106803>	WP4583	Biomarkers for urea cycle disorders	12	5	1.6661924353754e-20	5	1.86333945684214e-20	5	1.09213414748118e-20	5	2.31989732313294e-20	5	1.65431534795778e-20	5	1.52985677979982e-20	5	5.85850933744251e-21	5	5.85850933744251e-21
<https://identifiers.org/wikipathways/WP4584_r119306>	WP4584	Biomarkers for pyrimidine metabolism disorders	19	6	1.71595631147523e-35	6	2.11181232873122e-35	6	7.83400341166293e-36	6	3.17189669152378e-35	6	1.69332098184633e-35	6	1.46449789028439e-35	6	2.46534902834702e-36	6	2.46534902834702e-36
<https://identifiers.org/wikipathways/WP4585_r108119>	WP4585	Cancer immunotherapy by PD-1 blockade	25	11	6.71435780264218e-36	11	8.39614236142071e-36	11	2.88614573871933e-36	11	1.30111688790881e-35	11	6.61903171014047e-36	11	5.66108428177158e-36	11	8.31057125193925e-37	11	8.31057125193925e-37
<https://identifiers.org/wikipathways/WP4586_r119267>	WP4586	Metabolism of alpha-linolenic acid	6	4	8.71989347778175e-07	4	9.00312696605772e-07	4	7.72814846700547e-07	4	9.58514532518016e-07	4	8.70208112010357e-07	4	8.50969535120449e-07	4	6.46789949142924e-07	4	6.46789949142924e-07
<https://identifiers.org/wikipathways/WP4589_r119266>	WP4589	Major receptors targeted by epinephrine and norepinephrine	21	3	1.23041097224866e-49	3	1.63990432185438e-49	3	4.1567330537225e-50	3	2.87953551528987e-49	3	1.20800463332651e-49	3	9.88108727970093e-50	3	8.39065215224926e-51	3	8.39065215224926e-51
<https://identifiers.org/wikipathways/WP4595_r121755>	WP4595	Urea cycle and associated pathways	24	9	5.02520400265779e-39	9	6.38489913416021e-39	9	2.03379904714365e-39	9	1.02084777225371e-38	9	4.94880875524508e-39	9	4.18564457062599e-39	9	5.35851604755747e-40	9	5.35851604755747e-40
<https://identifiers.org/wikipathways/WP4629_r119264>	WP4629	Aerobic glycolysis	13	8	2.2216693059198e-14	8	2.40644511171452e-14	8	1.64294348871722e-14	8	2.814306107648e-14	8	2.21034391184653e-14	8	2.0902259161196e-14	8	1.05289883049431e-14	8	1.05289883049431e-14
<https://identifiers.org/wikipathways/WP4630_r120771>	WP4630	Measles virus infection	150	54	2.01373615197676e-171	54	9.2262138723428e-171	56	8.31683417986423e-170	54	1.82052858345491e-169	54	1.82689594339629e-171	56	7.44126330671683e-168	56	2.04979861493203e-173	54	1.32433374768965e-177
<https://identifiers.org/wikipathways/WP465_r122957>	WP465	Tryptophan metabolism	56	16	5.53222559186284e-90	16	1.04626385871422e-89	17	1.83745719701372e-88	16	3.6470086605738e-89	16	5.3112419721515e-90	17	1.1956321603241e-87	17	5.76628135398295e-90	16	1.43125686987453e-92
