pathwayRes	pathway	pathwayTitle	TotalGenesinPW	GenesInPWs.rectum_Ensembl_BridgeDb_CD	probabilities.rectum_Ensembl_BridgeDb_CD	GenesInPWs.rectum_Ensembl_Hs_CD	probabilities.rectum_Ensembl_Hs_CD	GenesInPWs.rectum_Ensembl_PriID_BridgeDb_CD	probabilities.rectum_Ensembl_PriID_BridgeDb_CD	GenesInPWs.rectum_ENTREZ_BridgeDb_CD	probabilities.rectum_ENTREZ_BridgeDb_CD	GenesInPWs.rectum_ENTREZ_Hs_CD	probabilities.rectum_ENTREZ_Hs_CD	GenesInPWs.rectum_ENTREZ_PriID_BridgeDb_CD	probabilities.rectum_ENTREZ_PriID_BridgeDb_CD	GenesInPWs.rectum_HGNC_CD	probabilities.rectum_HGNC_CD	GenesInPWs.rectum_HGNC_PriID_BridgeDb_CD	probabilities.rectum_HGNC_PriID_BridgeDb_CD
<https://identifiers.org/wikipathways/WP3527_r120810>	WP3527	Pre-implantation embryo	59	3	2.88517643780422e-94	3	8.75117917076962e-94	3	1.89098456143276e-95	3	1.33770054779028e-92	3	2.88517643780422e-94	3	8.3521025962072e-94	3	5.67075139888801e-97	3	5.67075139888801e-97
<https://identifiers.org/wikipathways/WP3529_r120882>	WP3529	Zinc homeostasis	37	1	1.29980346293743e-68	1	2.66816742847361e-68	1	2.22342266187794e-69	1	1.56321639221983e-67	1	1.29980346293743e-68	1	2.58865250510843e-68	1	2.29382620156746e-70	1	2.29382620156746e-70
<https://identifiers.org/wikipathways/WP357_r121828>	WP357	Fatty acid biosynthesis	23	3	1.02588399104799e-40	3	1.53381190980192e-40	3	3.82234006566423e-41	3	4.12352073693678e-40	3	1.02588399104799e-40	3	1.50807681064421e-40	3	1.07390210501487e-41	3	1.07390210501487e-41
<https://identifiers.org/wikipathways/WP3580_r120915>	WP3580	Methionine de novo and salvage pathway	22	4	1.64477081047357e-36	4	2.36288726265565e-36	4	6.75930984003172e-37	4	5.7586849568181e-36	4	1.64477081047357e-36	4	2.32714611078356e-36	4	2.15424995722963e-37	4	2.15424995722963e-37
<https://identifiers.org/wikipathways/WP3584_r117155>	WP3584	MECP2 and associated Rett syndrome	73	3	3.72009158274236e-112	3	1.47747048442611e-111	3	1.25683994577996e-113	3	4.37760786381039e-110	3	3.72009158274236e-112	3	1.39419920108483e-111	3	1.6044296771665e-115	3	1.6044296771665e-115
<https://identifiers.org/wikipathways/WP3591_r88424>	WP3591	Sleep regulation	39	3	3.21051455345549e-66	3	6.59037354832987e-66	3	5.49185397483849e-67	3	3.86114448878298e-65	3	3.21051455345549e-66	3	6.39397168761802e-66	3	5.6657507178718e-68	3	5.6657507178718e-68
<https://identifiers.org/wikipathways/WP3593_r117786>	WP3593	MicroRNA for targeting cancer growth and vascularization in glioblastoma	8	1	1.13185415927834e-17	1	1.30394676457269e-17	1	7.99706336872898e-18	1	1.84685484468063e-17	1	1.13185415927834e-17	1	1.29620492627582e-17	1	5.11672181269725e-18	1	5.11672181269725e-18
<https://identifiers.org/wikipathways/WP3594_r117682>	WP3594	Circadian rhythm genes	209	22	1.2753524140906e-207	22	4.31255063438566e-206	22	2.20902968473931e-211	22	2.43395882488615e-202	22	1.2753524140906e-207	22	3.71913858977163e-206	22	3.0992420383419e-216	22	3.0992420383419e-216
<https://identifiers.org/wikipathways/WP3595_r89883>	WP3595	mir-124 predicted interactions with cell cycle and differentiation 	6	1	2.91776237150454e-13	1	3.22844645135826e-13	1	2.27617272960665e-13	1	4.14064856177393e-13	1	2.91776237150454e-13	1	3.21473172556658e-13	1	1.65413565500943e-13	1	1.65413565500943e-13
<https://identifiers.org/wikipathways/WP3599_r105845>	WP3599	Transcription factor regulation in adipogenesis	22	5	3.99021398620888e-34	5	5.61894591059518e-34	5	1.72227214724004e-34	5	1.30376627422363e-33	5	3.99021398620888e-34	5	5.53860774366482e-34	5	5.84663438392126e-35	5	5.84663438392126e-35
<https://identifiers.org/wikipathways/WP3601_r117687>	WP3601	Lipid particles composition	11	4	4.66889840702315e-16	4	5.37878040386231e-16	4	3.2987886396007e-16	4	7.6182762343076e-16	4	4.66889840702315e-16	4	5.34684532088774e-16	4	2.11064774773761e-16	4	2.11064774773761e-16
<https://identifiers.org/wikipathways/WP3611_r120501>	WP3611	Photodynamic therapy-induced AP-1 survival signaling	50	9	2.76616628458503e-68	9	6.26415760871907e-68	9	3.71748690165515e-69	9	4.67142266842699e-67	9	2.76616628458503e-68	9	6.05242598303277e-68	9	2.81119214938103e-70	9	2.81119214938103e-70
<https://identifiers.org/wikipathways/WP3612_r106540>	WP3612	Photodynamic therapy-induced NFE2L2 (NRF2) survival signaling	23	3	1.02588399104799e-40	3	1.53381190980192e-40	3	3.82234006566423e-41	3	4.12352073693678e-40	3	1.02588399104799e-40	3	1.50807681064421e-40	3	1.07390210501487e-41	3	1.07390210501487e-41
<https://identifiers.org/wikipathways/WP3613_r106539>	WP3613	Photodynamic therapy-induced unfolded protein response	27	4	5.99315048033311e-45	4	9.51216666354672e-45	5	4.9324868770634e-43	4	2.96184206311115e-44	4	5.99315048033311e-45	5	2.22965186593537e-42	4	4.48558327418498e-46	5	1.22187288388797e-43
<https://identifiers.org/wikipathways/WP3614_r106542>	WP3614	Photodynamic therapy-induced HIF-1 survival signaling	37	12	2.55223115607806e-43	12	4.21510818687873e-43	12	7.44791409480382e-44	12	1.44718572581769e-42	12	2.55223115607806e-43	12	4.12707334588295e-43	12	1.52804821324849e-44	12	1.52804821324849e-44
<https://identifiers.org/wikipathways/WP3617_r106541>	WP3617	Photodynamic therapy-induced NF-kB survival signaling	35	16	1.42871106133135e-32	16	2.09388942556846e-32	17	4.19286748687007e-31	16	5.35983121929259e-32	16	1.42871106133135e-32	17	1.44355200398015e-30	16	1.67283854539579e-33	17	1.33630279096911e-31
<https://identifiers.org/wikipathways/WP3624_r122572>	WP3624	Lung fibrosis	64	19	1.46320570002388e-67	19	3.58330497276898e-67	20	1.05536501170376e-66	19	3.23874243808091e-66	19	1.46320570002388e-67	20	2.09981671404262e-65	19	9.57725334810076e-70	20	6.62745931688555e-68
<https://identifiers.org/wikipathways/WP363_r120695>	WP363	Wnt signaling pathway	51	1	7.33286887306001e-89	1	1.97965484865908e-88	1	6.39869609036695e-90	1	2.27337014523651e-87	1	7.33286887306001e-89	1	1.89865424110347e-88	1	2.77448621808068e-91	1	2.77448621808068e-91
<https://identifiers.org/wikipathways/WP3630_r121716>	WP3630	NAD metabolism, sirtuins and aging	11	2	3.86815221665368e-21	2	4.63947936676791e-21	2	2.47570068514584e-21	2	7.25546662568996e-21	2	3.86815221665368e-21	2	4.60412346981535e-21	2	1.39488857384204e-21	2	1.39488857384204e-21
<https://identifiers.org/wikipathways/WP364_r121718>	WP364	IL6 signaling pathway	44	10	1.04746686912411e-57	10	2.06712670401606e-57	10	1.97383217952115e-58	10	1.0993510886669e-56	10	1.04746686912411e-57	10	2.00884950008854e-57	10	2.30647834457477e-59	10	2.30647834457477e-59
<https://identifiers.org/wikipathways/WP3640_r122579>	WP3640	Imatinib and chronic myeloid leukemia	20	2	4.27213197525603e-38	2	6.13736951339127e-38	2	1.75566489351474e-38	2	1.49576232644626e-37	2	4.27213197525603e-38	2	6.04453535268457e-38	2	5.59545443436273e-39	2	5.59545443436273e-39
<https://identifiers.org/wikipathways/WP3644_r118983>	WP3644	NAD+ metabolism	16	2	7.91466562220127e-31	2	1.04956889587477e-30	2	3.95883221281062e-31	2	2.10106256340779e-30	2	7.91466562220127e-31	2	1.03717938108367e-30	2	1.62453037899804e-31	2	1.62453037899804e-31
<https://identifiers.org/wikipathways/WP3645_r118940>	WP3645	NAD+ biosynthetic pathways	22	3	5.41934369184043e-39	3	7.94247819380062e-39	3	2.12056779295109e-39	3	2.03307500682014e-38	3	5.41934369184043e-39	3	7.81577199255606e-39	3	6.34536069876172e-40	3	6.34536069876172e-40
<https://identifiers.org/wikipathways/WP3646_r116732>	WP3646	Hepatitis C and hepatocellular carcinoma	56	10	2.21471084304318e-74	10	5.53065569989351e-74	11	2.77042332544865e-73	10	5.24447297594256e-73	10	2.21471084304318e-74	11	5.89266225479561e-72	10	1.29889675477121e-76	11	1.63542909578011e-74
<https://identifiers.org/wikipathways/WP3651_r122573>	WP3651	Pathways affected in adenoid cystic carcinoma	66	6	3.82247856816311e-96	6	1.25262912711677e-95	6	2.0716462309968e-97	6	2.31514199910785e-94	6	3.82247856816311e-96	6	1.19162446183515e-95	6	4.86298850227087e-99	6	4.86298850227087e-99
<https://identifiers.org/wikipathways/WP3656_r117955>	WP3656	Interleukin-1 induced activation of NF-kB	10	1	7.03300403027945e-22	1	8.4354170304871e-22	1	4.50127397299248e-22	1	1.31917575012545e-21	1	7.03300403027945e-22	1	8.37113358148251e-22	1	2.5361610433492e-22	1	2.5361610433492e-22
<https://identifiers.org/wikipathways/WP3657_r120797>	WP3657	Hematopoietic stem cell gene regulation by GABP alpha/beta complex	20	1	7.03810869070189e-41	1	1.03149067451954e-40	1	2.7539841466897e-41	1	2.64035715171446e-40	1	7.03810869070189e-41	1	1.01503532370858e-40	1	8.24072818020991e-42	1	8.24072818020991e-42
<https://identifiers.org/wikipathways/WP3658_r116670>	WP3658	Wnt/beta-catenin signaling pathway in leukemia	27	1	7.92113151352982e-53	1	1.33443510169847e-52	1	2.20155487757565e-53	1	4.81063382686287e-52	1	7.92113151352982e-53	1	1.30547407278014e-52	1	4.24216237617488e-54	1	4.24216237617488e-54
<https://identifiers.org/wikipathways/WP366_r120697>	WP366	TGF-beta signaling pathway	132	9	1.95822140122935e-163	9	2.10126790261971e-162	9	5.73556112325088e-166	9	7.12921565682893e-160	9	1.95822140122935e-163	9	1.9016880168882e-162	9	3.11924398526522e-169	9	3.11924398526522e-169
<https://identifiers.org/wikipathways/WP3668_r117756>	WP3668	Hypothesized pathways in pathogenesis of cardiovascular disease	25	3	4.15934888036791e-44	3	6.4715253540027e-44	3	1.40526691654231e-44	3	1.91886861866512e-43	3	4.15934888036791e-44	3	6.35228451833438e-44	3	3.48111932731617e-45	3	3.48111932731617e-45
<https://identifiers.org/wikipathways/WP3672_r117771>	WP3672	lncRNA-mediated mechanisms of therapeutic resistance	7	1	1.70061087431572e-15	1	1.92006161083328e-15	1	1.26253637933808e-15	1	2.58790535110871e-15	1	1.70061087431572e-15	1	1.91028201009899e-15	1	8.60888444986317e-16	1	8.60888444986317e-16
<https://identifiers.org/wikipathways/WP3674_r117841>	WP3674	Tgif disruption of Shh signaling	9	1	8.46773685245642e-20	1	9.95379209597464e-20	1	5.69411157583549e-20	1	1.48143436739087e-19	1	8.46773685245642e-20	1	9.88630875973075e-20	1	3.41874508643468e-20	1	3.41874508643468e-20
<https://identifiers.org/wikipathways/WP3678_r117647>	WP3678	Amplification and expansion of oncogenic pathways as metastatic traits	17	2	1.11197781468943e-32	2	1.50444108177663e-32	2	5.29505488731549e-33	2	3.16369030805419e-32	2	1.11197781468943e-32	2	1.48542961065056e-32	2	2.03966148027819e-33	2	2.03966148027819e-33
<https://identifiers.org/wikipathways/WP368_r117795>	WP368	Mitochondrial long chain fatty acid beta-oxidation	17	2	1.11197781468943e-32	2	1.50444108177663e-32	2	5.29505488731549e-33	2	3.16369030805419e-32	2	1.11197781468943e-32	2	1.48542961065056e-32	2	2.03966148027819e-33	2	2.03966148027819e-33
<https://identifiers.org/wikipathways/WP382_r119087>	WP382	MAPK signaling pathway	249	21	6.73914341809457e-241	21	4.62339002826073e-239	21	2.03847192206394e-245	21	1.47313501190894e-234	21	6.73914341809457e-241	21	3.87043793794412e-239	21	2.98111839846144e-251	21	2.98111839846144e-251
<https://identifiers.org/wikipathways/WP384_r121706>	WP384	Apoptosis modulation by HSP70	20	3	1.72736536199518e-35	3	2.43244411714078e-35	3	7.45572358112573e-36	3	5.64400984512382e-35	3	1.72736536199518e-35	3	2.39766568989821e-35	3	2.53101055581004e-36	3	2.53101055581004e-36
<https://identifiers.org/wikipathways/WP3844_r107714>	WP3844	PI3K-AKT-mTOR signaling pathway and therapeutic opportunities	30	2	6.45560351278569e-55	2	1.13153696101003e-54	2	1.62774032877039e-55	2	4.49674065450855e-54	2	6.45560351278569e-55	2	1.1051344319198e-54	2	2.76703952193629e-56	2	2.76703952193629e-56
<https://identifiers.org/wikipathways/WP3845_r116460>	WP3845	Canonical and non-canonical Notch signaling	29	3	1.07199313149767e-50	3	1.80593550429858e-50	3	2.97943760098567e-51	3	6.51039111235449e-50	3	1.07199313149767e-50	3	1.76674157849581e-50	3	5.74105974909e-52	3	5.74105974909e-52
<https://identifiers.org/wikipathways/WP3850_r121711>	WP3850	Factors and pathways affecting insulin-like growth factor (IGF1)-Akt signaling	39	3	3.21051455345549e-66	3	6.59037354832987e-66	3	5.49185397483849e-67	3	3.86114448878298e-65	3	3.21051455345549e-66	3	6.39397168761802e-66	3	5.6657507178718e-68	3	5.6657507178718e-68
<https://identifiers.org/wikipathways/WP3851_r121712>	WP3851	TLR4 signaling and tolerance	29	2	2.63173436537895e-53	2	4.52237605417007e-53	3	2.97943760098567e-51	2	1.71175927581623e-52	2	2.63173436537895e-53	3	1.76674157849581e-50	2	1.26084767549563e-54	3	5.74105974909e-52
<https://identifiers.org/wikipathways/WP3858_r117850>	WP3858	Toll-like receptor signaling related to MyD88	31	2	1.63499762170229e-56	2	2.92313714927592e-56	2	3.92684437290914e-57	2	1.21958845397869e-55	2	1.63499762170229e-56	2	2.85255348788625e-56	2	6.27033809795505e-58	2	6.27033809795505e-58
<https://identifiers.org/wikipathways/WP3859_r117840>	WP3859	TGF-beta signaling in thyroid cells for epithelial-mesenchymal transition	19	2	2.59104804299277e-36	2	3.64866617571116e-36	2	1.11835853716887e-36	2	8.46601476768587e-36	2	2.59104804299277e-36	2	3.59649853484725e-36	2	3.79651583371506e-37	2	3.79651583371506e-37
<https://identifiers.org/wikipathways/WP3863_r121717>	WP3863	T-cell antigen receptor (TCR) pathway during Staphylococcus aureus infection	66	7	6.85315800434966e-94	7	2.20283779354393e-93	7	3.89469491427397e-95	7	3.88282386707527e-92	7	6.85315800434966e-94	7	2.09725905282978e-93	7	9.71902987810995e-97	7	9.71902987810995e-97
<https://identifiers.org/wikipathways/WP3865_r106524>	WP3865	Novel intracellular components of RIG-I-like receptor (RLR) pathway	60	9	8.70006795004144e-82	9	2.39488707408251e-81	10	9.459283714188e-81	9	2.88476868463652e-80	9	8.70006795004144e-82	10	2.80680765082476e-79	9	2.95076442950286e-84	10	4.10156255700911e-82
<https://identifiers.org/wikipathways/WP3869_r118463>	WP3869	Cannabinoid receptor signaling	31	5	4.98476806146425e-49	5	8.39760009498834e-49	5	1.38543848445835e-49	5	3.0273318672448e-48	5	4.98476806146425e-49	5	8.21534834000527e-49	5	2.66959278332682e-50	5	2.66959278332682e-50
<https://identifiers.org/wikipathways/WP3871_r106754>	WP3871	Valproic acid pathway	13	2	4.15234853256522e-25	2	5.1847339016649e-25	2	2.40775567219621e-25	2	8.95099085494371e-25	2	4.15234853256522e-25	2	5.13652420350907e-25	2	1.1948637812336e-25	2	1.1948637812336e-25
<https://identifiers.org/wikipathways/WP3872_r116648>	WP3872	Regulation of apoptosis by parathyroid hormone-related protein	22	2	1.33810955354085e-41	2	2.00062423017644e-41	2	4.98566095521432e-42	2	5.378505309048e-41	2	1.33810955354085e-41	2	1.96705670953592e-41	2	1.40074187610636e-42	2	1.40074187610636e-42
<https://identifiers.org/wikipathways/WP3874_r116461>	WP3874	Canonical and non-canonical TGF-B signaling	17	1	1.83646212170015e-35	1	2.53486281680987e-35	1	8.3255579989238e-36	1	5.59945187266235e-35	1	1.83646212170015e-35	1	2.50072325025348e-35	1	3.01057045059511e-36	1	3.01057045059511e-36
<https://identifiers.org/wikipathways/WP3877_r117828>	WP3877	MYD88 distinct input-output pathway	18	3	6.6718668881366e-32	3	9.02664649065984e-32	3	3.17703293238933e-32	3	1.89821418483255e-31	3	6.6718668881366e-32	3	8.91257766390336e-32	3	1.22379688816691e-32	3	1.22379688816691e-32
<https://identifiers.org/wikipathways/WP3878_r117656>	WP3878	ATM signaling in development and disease 	46	1	7.71885354719821e-82	1	1.89030197868283e-81	2	5.56737030483492e-80	1	1.70853479837002e-80	1	7.71885354719821e-82	2	1.10771695950811e-78	1	5.05229141584095e-84	2	3.49618565976207e-81
<https://identifiers.org/wikipathways/WP3888_r116782>	WP3888	VEGFA-VEGFR2 signaling pathway	435	40	0	40	0	41	0	40	5.01115962607401e-319	40	0	41	0	40	0	41	0
<https://identifiers.org/wikipathways/WP3890_r116457>	WP3890	Nanomaterial-induced inflammasome activation	10	3	1.69778123891752e-16	3	1.95592014685904e-16	3	1.19955950530935e-16	3	2.77028226702094e-16	3	1.69778123891752e-16	3	1.94430738941373e-16	3	7.67508271904583e-17	3	7.67508271904583e-17
<https://identifiers.org/wikipathways/WP3891_r106161>	WP3891	Benzene metabolism	6	1	2.91776237150454e-13	1	3.22844645135826e-13	1	2.27617272960665e-13	1	4.14064856177393e-13	1	2.91776237150454e-13	1	3.21473172556658e-13	1	1.65413565500943e-13	1	1.65413565500943e-13
<https://identifiers.org/wikipathways/WP3892_r120069>	WP3892	Development of pulmonary dendritic cells and macrophage subsets	13	4	5.02859788164979e-20	4	6.03132317679825e-20	4	3.21841089068964e-20	4	9.43210661339703e-20	4	5.02859788164979e-20	4	5.98536051075996e-20	4	1.81335514599467e-20	4	1.81335514599467e-20
<https://identifiers.org/wikipathways/WP3893_r118859>	WP3893	Development and heterogeneity of the ILC family	32	10	1.16664744875665e-39	10	1.81518520349354e-39	10	3.94160506887115e-40	10	5.38219621112153e-39	10	1.16664744875665e-39	10	1.78173957997858e-39	10	9.76412197880288e-41	10	9.76412197880288e-41
<https://identifiers.org/wikipathways/WP3915_r122574>	WP3915	Angiopoietin-like protein 8 regulatory pathway	134	11	3.17267471024608e-161	11	3.40443605095324e-160	12	1.06788057497643e-161	11	1.1550625585091e-157	11	3.17267471024608e-161	12	3.32499920976451e-158	11	5.05374239139997e-167	12	6.15714281352185e-165
<https://identifiers.org/wikipathways/WP3925_r117062>	WP3925	Amino acid metabolism	94	6	9.58025590841395e-130	6	5.35741623653916e-129	7	2.67871157765457e-129	6	3.67606278898154e-127	6	9.58025590841395e-130	7	8.96984547031971e-127	6	6.01617798486662e-134	7	1.22644085491494e-131
<https://identifiers.org/wikipathways/WP3926_r106298>	WP3926	ApoE and miR-146 in inflammation and atherosclerosis	9	2	5.09334371675252e-17	2	5.86776044057711e-17	2	3.59867851592803e-17	2	8.31084680106283e-17	2	5.09334371675252e-17	2	5.83292216824115e-17	2	2.30252481571377e-17	2	2.30252481571377e-17
<https://identifiers.org/wikipathways/WP3927_r117666>	WP3927	BMP signaling in eyelid development	20	2	4.27213197525603e-38	2	6.13736951339127e-38	2	1.75566489351474e-38	2	1.49576232644626e-37	2	4.27213197525603e-38	2	6.04453535268457e-38	2	5.59545443436273e-39	2	5.59545443436273e-39
<https://identifiers.org/wikipathways/WP3929_r119247>	WP3929	Chemokine signaling pathway	166	28	2.72425624710077e-160	28	3.84465145131602e-159	28	4.06410617428001e-163	28	2.55296670340671e-156	28	2.72425624710077e-160	28	3.43964236713162e-159	28	9.24319054246848e-167	28	9.24319054246848e-167
<https://identifiers.org/wikipathways/WP3930_r116431>	WP3930	EDA signaling in hair follicle development	13	1	6.88044495868306e-28	1	8.76539966469129e-28	1	3.7977218804357e-28	1	1.58987404173068e-27	1	6.88044495868306e-28	1	8.67656115457625e-28	1	1.76885829938359e-28	1	1.76885829938359e-28
<https://identifiers.org/wikipathways/WP3931_r117717>	WP3931	Embryonic stem cell pluripotency pathways	116	8	3.10576569730876e-149	8	2.52595040586331e-148	8	1.79952207951329e-151	8	4.34390313149485e-146	8	3.10576569730876e-149	8	2.31282334036856e-148	8	2.36193217854916e-154	8	2.36193217854916e-154
<https://identifiers.org/wikipathways/WP3932_r120304>	WP3932	Focal adhesion: PI3K-Akt-mTOR-signaling pathway	302	33	2.45095817052695e-258	33	3.34306572435406e-256	33	1.35908581445059e-263	33	5.71441469232819e-251	33	2.45095817052695e-258	33	2.71899585631016e-256	33	2.19984164356329e-270	33	2.19984164356329e-270
<https://identifiers.org/wikipathways/WP3935_r118425>	WP3935	Leptin-insulin signaling overlap	17	5	3.27509180033313e-25	5	4.17233024039302e-25	5	1.80771561508741e-25	5	7.56780043863799e-25	5	3.27509180033313e-25	5	4.13004310957823e-25	5	8.41976550506588e-26	5	8.41976550506588e-26
<https://identifiers.org/wikipathways/WP3937_r120792>	WP3937	Microglia pathogen phagocytosis pathway	40	7	2.84492220791057e-58	7	5.50468360087066e-58	7	5.62701603284465e-59	7	2.7890513877385e-57	7	2.84492220791057e-58	7	5.35393292964366e-58	7	6.99838992074013e-60	7	6.99838992074013e-60
<https://identifiers.org/wikipathways/WP3940_r119248>	WP3940	One-carbon metabolism and related pathways	52	3	7.9121655140314e-85	3	2.09487076085104e-84	3	7.24247081481683e-86	3	2.29337580251459e-83	3	7.9121655140314e-85	3	2.01080141827793e-84	3	3.33992650932557e-87	3	3.33992650932557e-87
<https://identifiers.org/wikipathways/WP3941_r117040>	WP3941	Oxidative damage response	40	4	3.21051455345541e-65	4	6.59037354832971e-65	4	5.49185397483843e-66	4	3.86114448878291e-64	4	3.21051455345541e-65	4	6.39397168761791e-65	4	5.66575071787158e-67	4	5.66575071787158e-67
<https://identifiers.org/wikipathways/WP3942_r106517>	WP3942	PPAR signaling pathway	68	10	5.4380037203114e-90	10	1.71450536867844e-89	10	3.24078645676443e-91	10	2.88201954396338e-88	10	5.4380037203114e-90	10	1.63365877405782e-89	10	8.59768060753981e-93	10	8.59768060753981e-93
<https://identifiers.org/wikipathways/WP3943_r117818>	WP3943	Robo4 and VEGF signaling pathways crosstalk	6	1	2.91776237150454e-13	1	3.22844645135826e-13	1	2.27617272960665e-13	1	4.14064856177393e-13	1	2.91776237150454e-13	1	3.21473172556658e-13	1	1.65413565500943e-13	1	1.65413565500943e-13
<https://identifiers.org/wikipathways/WP3944_r120596>	WP3944	Serotonin and anxiety-related events	13	2	4.15234853256522e-25	2	5.1847339016649e-25	2	2.40775567219621e-25	2	8.95099085494371e-25	2	4.15234853256522e-25	2	5.13652420350907e-25	2	1.1948637812336e-25	2	1.1948637812336e-25
<https://identifiers.org/wikipathways/WP3945_r116679>	WP3945	TYROBP causal network in microglia	60	10	1.08402846657519e-79	10	2.92655200452878e-79	10	9.459283714188e-81	10	3.36075551760162e-78	10	1.08402846657519e-79	10	2.80680765082476e-79	10	4.10156255700911e-82	10	4.10156255700911e-82
<https://identifiers.org/wikipathways/WP3947_r106483>	WP3947	Serotonin and anxiety	17	1	1.83646212170015e-35	1	2.53486281680987e-35	1	8.3255579989238e-36	1	5.59945187266235e-35	1	1.83646212170015e-35	1	2.50072325025348e-35	1	3.01057045059511e-36	1	3.01057045059511e-36
<https://identifiers.org/wikipathways/WP395_r120704>	WP395	IL-4 signaling pathway	53	9	2.04911353638087e-72	9	4.92103325632066e-72	9	2.38381001746609e-73	9	4.23934538707086e-71	9	2.04911353638087e-72	9	4.74296955296703e-72	9	1.49698007179874e-74	9	1.49698007179874e-74
<https://identifiers.org/wikipathways/WP3953_r106206>	WP3953	mRNA, protein, and metabolite inducation pathway by cyclosporin A	8	3	2.7232448800709e-12	3	3.01321668793437e-12	3	2.12442788096621e-12	3	3.86460532432234e-12	3	2.7232448800709e-12	3	3.00041627719549e-12	3	1.54385994467547e-12	3	1.54385994467547e-12
<https://identifiers.org/wikipathways/WP3959_r118468>	WP3959	DNA IR-double strand breaks and cellular response via ATM	57	2	3.16425107278758e-94	2	9.41352733126907e-94	2	2.17501906306238e-95	2	1.37210079565864e-92	2	3.16425107278758e-94	2	8.9915680784414e-94	2	6.93515330343238e-97	2	6.93515330343238e-97
<https://identifiers.org/wikipathways/WP3963_r107557>	WP3963	Mevalonate pathway	7	5	2.93375579416769e-05	5	3.05508759372568e-05	5	2.65603241877284e-05	5	3.37528328270405e-05	5	2.93375579416769e-05	5	3.04988301520149e-05	5	2.33730675481648e-05	5	2.33730675481648e-05
<https://identifiers.org/wikipathways/WP3967_r108139>	WP3967	miR-509-3p alteration of YAP1/ECM axis	18	4	2.01823973366131e-29	4	2.67640068448066e-29	4	1.0095022142667e-29	4	5.3577095366899e-29	4	2.01823973366131e-29	4	2.64480742176335e-29	4	4.142552466445e-30	4	4.142552466445e-30
<https://identifiers.org/wikipathways/WP3969_r106437>	WP3969	H19 action Rb-E2F1 signaling and CDK-Beta-catenin activity	15	1	9.8933320277515e-32	1	1.31196111984346e-31	1	4.94854026601329e-32	1	2.62632820425974e-31	1	9.8933320277515e-32	1	1.29647422635458e-31	1	2.03066297374753e-32	1	2.03066297374753e-32
<https://identifiers.org/wikipathways/WP3971_r117820>	WP3971	OSX and miRNAs in tooth development	36	3	1.08953142878727e-61	3	2.10815106718978e-61	3	2.15500121621144e-62	3	1.06813435354904e-60	3	1.08953142878727e-61	3	2.05041746949914e-61	3	2.68020185168943e-63	3	2.68020185168943e-63
<https://identifiers.org/wikipathways/WP3972_r108157>	WP3972	PDGFR-beta pathway	29	4	3.27225903389671e-48	4	5.40426199661349e-48	4	9.54909751115912e-49	4	1.85546146702101e-47	4	3.27225903389671e-48	4	5.29139102759483e-48	4	1.95913663937698e-49	4	1.95913663937698e-49
<https://identifiers.org/wikipathways/WP3981_r108114>	WP3981	miRNA regulation of prostate cancer signaling pathways	35	1	1.4775310940972e-65	1	2.91583826720587e-65	1	2.78423929743081e-66	1	1.55071770259734e-64	1	1.4775310940972e-65	1	2.83363387161291e-65	1	3.25346182530885e-67	1	3.25346182530885e-67
<https://identifiers.org/wikipathways/WP3982_r108115>	WP3982	miRNA regulation of p53 pathway in prostate cancer	34	4	3.99339827276175e-56	4	7.28228671992796e-56	4	9.13617291115387e-57	4	3.18969287963657e-55	4	3.99339827276175e-56	4	7.10053247567015e-56	4	1.37040552148146e-57	4	1.37040552148146e-57
<https://identifiers.org/wikipathways/WP399_r119242>	WP399	Wnt signaling pathway and pluripotency	101	6	1.41997327020474e-137	6	9.05909812740653e-137	7	2.88605997827511e-137	6	8.5882595935417e-135	6	1.41997327020474e-137	7	1.51675185790288e-134	6	4.24419594032302e-142	7	8.69453854060454e-140
<https://identifiers.org/wikipathways/WP3995_r119304>	WP3995	Prion disease pathway	33	3	4.6981156150138e-57	3	8.56739614109177e-57	3	1.07484387190047e-57	3	3.75257985839593e-56	3	4.6981156150138e-57	3	8.35356761843552e-57	3	1.61224178997824e-58	3	1.61224178997824e-58
<https://identifiers.org/wikipathways/WP3996_r107156>	WP3996	Ethanol effects on histone modifications	31	1	2.66938387216694e-59	1	4.86783871652947e-59	1	6.10706745397997e-60	1	2.13214764681587e-58	1	2.66938387216694e-59	1	4.74634523774754e-59	1	9.1604647157851e-61	1	9.1604647157851e-61
<https://identifiers.org/wikipathways/WP3998_r119303>	WP3998	Prader-Willi and Angelman syndrome	74	2	5.14868456522926e-116	2	2.12460922902615e-115	2	1.58330269815032e-117	2	6.91491412303836e-114	2	5.14868456522926e-116	2	2.00164149229794e-115	2	1.79030710240699e-119	2	1.79030710240699e-119
<https://identifiers.org/wikipathways/WP400_r116725>	WP400	p38 MAPK signaling pathway	34	1	5.18824489898692e-64	1	1.00388146056658e-63	1	1.02619105533878e-64	1	5.08635406451927e-63	1	5.18824489898692e-64	1	9.76389271190069e-64	1	1.27628659604261e-65	1	1.27628659604261e-65
<https://identifiers.org/wikipathways/WP4008_r117805>	WP4008	NO/cGMP/PKG mediated neuroprotection	47	7	2.09325399657985e-68	7	4.64826062557191e-68	7	2.95198806823275e-69	7	3.30336317267344e-67	7	2.09325399657985e-68	7	4.49485268413392e-68	7	2.37517050988526e-70	7	2.37517050988526e-70
