pathwayRes	pathway	pathwayTitle	TotalGenesinPW	GenesInPWs.ileum_Ensembl_BridgeDb_CD	probabilities.ileum_Ensembl_BridgeDb_CD	GenesInPWs.ileum_Ensembl_Hs_CD	probabilities.ileum_Ensembl_Hs_CD	GenesInPWs.ileum_Ensembl_PriID_BridgeDb_CD	probabilities.ileum_Ensembl_PriID_BridgeDb_CD	GenesInPWs.ileum_ENTREZ_BridgeDb_CD	probabilities.ileum_ENTREZ_BridgeDb_CD	GenesInPWs.ileum_ENTREZ_Hs_CD	probabilities.ileum_ENTREZ_Hs_CD	GenesInPWs.ileum_ENTREZ_PriID_BridgeDb_CD	probabilities.ileum_ENTREZ_PriID_BridgeDb_CD	GenesInPWs.ileum_HGNC_CD	probabilities.ileum_HGNC_CD	GenesInPWs.ileum_HGNC_PriID_BridgeDb_CD	probabilities.ileum_HGNC_PriID_BridgeDb_CD
<https://identifiers.org/wikipathways/WP35_r117729>	WP35	G protein signaling pathways	92	10	7.67322987956868e-131	10	3.20414515124358e-130	10	7.43557364144086e-133	10	6.48924180134613e-128	10	6.98197347859282e-131	10	6.29699805294704e-130	10	9.63472839615715e-135	10	9.63472839615715e-135
<https://identifiers.org/wikipathways/WP3527_r120810>	WP3527	Pre-implantation embryo	59	9	6.31379682466269e-88	9	1.52157389836328e-87	9	3.64320242511093e-89	9	4.00183309228885e-86	9	5.95746018100205e-88	9	2.30614806426411e-87	9	2.5168280634793e-90	9	2.5168280634793e-90
<https://identifiers.org/wikipathways/WP3529_r120882>	WP3529	Zinc homeostasis	37	1	5.23837149582477e-74	1	9.89377879901161e-74	1	6.66410912825738e-75	1	1.05218769611373e-72	1	5.022934725386e-74	1	1.3363749116372e-73	1	9.65992372392667e-76	1	9.65992372392667e-76
<https://identifiers.org/wikipathways/WP357_r121828>	WP357	Fatty acid biosynthesis	23	3	9.93935834054085e-44	3	1.41744420768547e-43	3	3.14505401766929e-44	3	5.3053179184285e-43	3	9.70908850349193e-44	3	1.67644216404401e-43	3	1.07064801147392e-44	3	1.07064801147392e-44
<https://identifiers.org/wikipathways/WP3584_r117155>	WP3584	MECP2 and associated Rett syndrome	73	6	7.28688750575001e-115	6	2.35458889490205e-114	6	1.62326038776782e-116	6	1.84055243919059e-112	6	6.74370962868297e-115	6	4.09929608596895e-114	6	4.59311646080794e-118	6	4.59311646080794e-118
<https://identifiers.org/wikipathways/WP3585_r106742>	WP3585	Cytosine methylation	9	1	5.21430990371474e-21	1	6.01277451794975e-21	1	3.28564653256124e-21	1	1.02142518135732e-20	1	5.16547846901553e-21	1	6.43180516175554e-21	1	2.13217362294992e-21	1	2.13217362294992e-21
<https://identifiers.org/wikipathways/WP3591_r88424>	WP3591	Sleep regulation	39	4	5.59925600410078e-69	4	1.03921037026708e-68	4	7.53884009243259e-70	4	1.03566308834621e-67	4	5.3751805803406e-69	4	1.39213181388792e-68	4	1.15243856018816e-70	4	1.15243856018816e-70
<https://identifiers.org/wikipathways/WP3593_r117786>	WP3593	MicroRNA for targeting cancer growth and vascularization in glioblastoma	8	2	8.39650474543144e-16	2	9.34403866498999e-16	2	5.93718518864845e-16	2	1.39072145567707e-15	2	8.33742661422241e-16	2	9.82859154313241e-16	2	4.29196126339885e-16	2	4.29196126339885e-16
<https://identifiers.org/wikipathways/WP3594_r117682>	WP3594	Circadian rhythm genes	209	19	3.89846894704528e-240	19	9.69400584393012e-239	20	1.13691748982011e-242	19	1.46524899038865e-233	19	3.15274017461649e-240	20	4.07367407456158e-236	19	6.37272316326898e-249	20	6.64675025928928e-247
<https://identifiers.org/wikipathways/WP3595_r89883>	WP3595	mir-124 predicted interactions with cell cycle and differentiation 	6	1	5.10087663284958e-14	1	5.57638878899941e-14	1	3.82100275355155e-14	1	7.76817270242475e-14	1	5.07094197286457e-14	1	5.81642006677515e-14	1	2.91546797249452e-14	1	2.91546797249452e-14
<https://identifiers.org/wikipathways/WP3599_r105845>	WP3599	Transcription factor regulation in adipogenesis	22	4	3.1757438299569e-39	4	4.37179851856077e-39	4	1.12676346134767e-39	4	1.43503429042571e-38	4	3.10941157741423e-39	4	5.08503174969152e-39	4	4.26995374436899e-40	4	4.26995374436899e-40
<https://identifiers.org/wikipathways/WP3601_r117687>	WP3601	Lipid particles composition	11	1	1.97422001503664e-25	1	2.35883377725878e-25	1	1.10871155422748e-25	1	4.57282088602404e-25	1	1.95115015542411e-25	1	2.56594796208229e-25	1	6.45947728335421e-26	1	6.45947728335421e-26
<https://identifiers.org/wikipathways/WP3611_r120501>	WP3611	Photodynamic therapy-induced AP-1 survival signaling	50	7	4.85299030085926e-79	7	1.03562152245155e-78	7	4.15472830529826e-80	7	1.73366682217486e-77	7	4.61602639275673e-79	7	1.48194692453732e-78	7	4.15475396929211e-81	7	4.15475396929211e-81
<https://identifiers.org/wikipathways/WP3612_r106540>	WP3612	Photodynamic therapy-induced NFE2L2 (NRF2) survival signaling	23	1	2.0240536511766e-49	1	2.99009213787971e-49	1	5.71255708856993e-50	1	1.27592000667665e-48	1	1.97256205285423e-49	1	3.59590004785544e-49	1	1.74713815981688e-50	1	1.74713815981688e-50
<https://identifiers.org/wikipathways/WP3613_r106539>	WP3613	Photodynamic therapy-induced unfolded protein response	27	2	8.39175708361454e-54	2	1.30693545985214e-53	3	1.21133308247379e-51	2	6.78676091705344e-53	2	8.14979297326518e-54	3	9.00273483334063e-51	2	5.19854787571575e-55	3	3.32880348974998e-52
<https://identifiers.org/wikipathways/WP3614_r106542>	WP3614	Photodynamic therapy-induced HIF-1 survival signaling	37	11	3.08816426624522e-49	11	4.8948444328102e-49	11	6.93673133798591e-50	11	2.71353690683739e-48	11	2.99564026249073e-49	11	6.08579047696105e-49	11	1.71299866479106e-50	11	1.71299866479106e-50
<https://identifiers.org/wikipathways/WP3617_r106541>	WP3617	Photodynamic therapy-induced NF-kB survival signaling	35	12	9.83105478766539e-44	12	1.47813256316326e-43	13	3.66681041935374e-42	12	6.73430579523938e-43	12	9.56981369544121e-44	13	2.30815789811774e-41	12	7.59719949092166e-45	13	1.12146352485219e-42
<https://identifiers.org/wikipathways/WP3624_r122572>	WP3624	Lung fibrosis	64	20	2.41189160435066e-72	20	5.23729394049541e-72	22	1.42932281779142e-69	20	9.35300293643975e-71	20	2.29148731049698e-72	22	4.69625883033806e-68	20	1.85093652652321e-74	22	1.50705495548948e-70
<https://identifiers.org/wikipathways/WP363_r120695>	WP363	Wnt signaling pathway	51	7	1.42324614918817e-80	7	3.09050308045803e-80	7	1.15158230201203e-81	7	5.51916404063148e-79	7	1.35219612883739e-80	7	4.45895534816539e-80	7	1.09222913625714e-82	7	1.09222913625714e-82
<https://identifiers.org/wikipathways/WP3630_r121716>	WP3630	NAD metabolism, sirtuins and aging	11	4	4.06998614276199e-17	4	4.61054539390957e-17	4	2.7166820746727e-17	4	7.33127923919225e-17	4	4.0366061952661e-17	4	4.89058384986981e-17	4	1.86067684829429e-17	4	1.86067684829429e-17
<https://identifiers.org/wikipathways/WP364_r121718>	WP364	IL6 signaling pathway	44	10	8.34908546752962e-63	10	1.52270184035565e-62	10	1.18974901842606e-63	10	1.42199069047874e-61	10	8.02423106464665e-63	10	2.02302107918688e-62	10	1.91806152740506e-64	10	1.91806152740506e-64
<https://identifiers.org/wikipathways/WP3640_r122579>	WP3640	Imatinib and chronic myeloid leukemia	20	3	4.70999929066328e-38	3	6.37033498418848e-38	3	1.76965274362308e-38	3	1.95810739542073e-37	3	4.61700506949384e-38	3	7.34798094392669e-38	3	7.07592334781133e-39	3	7.07592334781133e-39
<https://identifiers.org/wikipathways/WP3644_r118983>	WP3644	NAD+ metabolism	16	2	6.0867708715537e-33	2	7.80695162963131e-33	2	2.71630625132838e-33	2	1.97000236740087e-32	2	5.98754132587876e-33	2	8.78194870679401e-33	2	1.27603590961906e-33	2	1.27603590961906e-33
<https://identifiers.org/wikipathways/WP3645_r118940>	WP3645	NAD+ biosynthetic pathways	22	4	3.1757438299569e-39	4	4.37179851856077e-39	4	1.12676346134767e-39	4	1.43503429042571e-38	4	3.10941157741423e-39	4	5.08503174969152e-39	4	4.26995374436899e-40	4	4.26995374436899e-40
<https://identifiers.org/wikipathways/WP3646_r116732>	WP3646	Hepatitis C and hepatocellular carcinoma	56	11	4.73401115692064e-79	11	1.04599974435432e-78	12	5.55408144260392e-78	11	1.99268333135118e-77	11	4.49252027282411e-79	12	2.15055416442014e-76	11	3.25676731015063e-81	12	5.26782112416854e-79
<https://identifiers.org/wikipathways/WP3651_r122573>	WP3651	Pathways affected in adenoid cystic carcinoma	66	7	1.15913896598688e-102	7	3.26380736733332e-102	7	4.03656939641175e-104	7	1.53016322202913e-100	7	1.08253404450496e-102	7	5.32431215447555e-102	7	1.73669931548824e-105	7	1.73669931548824e-105
<https://identifiers.org/wikipathways/WP3655_r117757>	WP3655	Hypothetical craniofacial development pathway	8	3	4.76081819065963e-13	3	5.20462953639944e-13	3	3.56626923664813e-13	3	7.25029452226311e-13	3	4.7328791746736e-13	3	5.42865872899012e-13	3	2.72110344099487e-13	3	2.72110344099487e-13
<https://identifiers.org/wikipathways/WP3656_r117955>	WP3656	Interleukin-1 induced activation of NF-kB	10	1	3.0600410233068e-23	1	3.59186052446223e-23	1	1.82030278812256e-23	1	6.51834831753246e-23	1	3.02783028664454e-23	1	3.87458142274426e-23	1	1.119251245643e-23	1	1.119251245643e-23
<https://identifiers.org/wikipathways/WP3657_r120797>	WP3657	Hematopoietic stem cell gene regulation by GABP alpha/beta complex	20	3	4.70999929066328e-38	3	6.37033498418848e-38	3	1.76965274362308e-38	3	1.95810739542073e-37	3	4.61700506949384e-38	3	7.34798094392669e-38	3	7.07592334781133e-39	3	7.07592334781133e-39
<https://identifiers.org/wikipathways/WP3658_r116670>	WP3658	Wnt/beta-catenin signaling pathway in leukemia	27	4	2.06764502783173e-48	4	3.10877470496373e-48	4	5.51156552525577e-49	4	1.41634384042853e-47	4	2.01270139695299e-48	4	3.7698952114613e-48	4	1.59782567508e-49	4	1.59782567508e-49
<https://identifiers.org/wikipathways/WP366_r120697>	WP366	TGF-beta signaling pathway	132	14	2.03092185471251e-170	14	1.55551035744978e-169	14	2.74393992326496e-173	14	2.9913800412817e-166	14	1.77536229118209e-170	14	4.07166011231991e-169	14	5.59092745263504e-176	14	5.59092745263504e-176
<https://identifiers.org/wikipathways/WP3664_r118061>	WP3664	Regulation of Wnt / B-catenin signaling by small molecule compounds	18	1	7.43684098525791e-40	1	1.0058423659245e-39	1	2.79418854256284e-40	1	3.0917485190854e-39	1	7.29000800446413e-40	1	1.1602075174621e-39	1	1.11725105491761e-40	1	1.11725105491761e-40
<https://identifiers.org/wikipathways/WP3668_r117756>	WP3668	Hypothesized pathways in pathogenesis of cardiovascular disease	25	6	8.52299977701394e-40	6	1.19419674497502e-39	7	7.40444560314181e-38	6	4.18589583764003e-39	6	8.33525248024795e-40	7	3.34159229265443e-37	6	1.025680794992e-40	7	2.80596960344246e-38
<https://identifiers.org/wikipathways/WP3670_r117829>	WP3670	Interactions between LOXL4 and oxidative stress pathway	18	6	1.51020466828087e-26	6	1.86957575285871e-26	6	7.55987823631261e-27	6	4.1353702635773e-26	6	1.48906470436687e-26	6	2.0681278437731e-26	6	3.95476896729978e-27	6	3.95476896729978e-27
<https://identifiers.org/wikipathways/WP3672_r117771>	WP3672	lncRNA-mediated mechanisms of therapeutic resistance	7	1	2.09912618635786e-16	1	2.3360096662475e-16	1	1.4842962971621e-16	1	3.47680363919266e-16	1	2.08435665355559e-16	1	2.45714788578309e-16	1	1.07299031584971e-16	1	1.07299031584971e-16
<https://identifiers.org/wikipathways/WP3676_r116809>	WP3676	BDNF-TrkB signaling	33	6	6.27247994783626e-54	6	1.01183703279462e-53	6	1.33088411400773e-54	6	5.98795463736667e-53	6	6.07749251885811e-54	6	1.26851928817093e-53	6	3.11565796895942e-55	6	3.11565796895942e-55
<https://identifiers.org/wikipathways/WP3678_r117647>	WP3678	Amplification and expansion of oncogenic pathways as metastatic traits	17	3	3.44917016054713e-32	3	4.42393925679112e-32	3	1.53924020908608e-32	3	1.11633467486049e-31	3	3.39294008466459e-32	3	4.97643760051659e-32	3	7.23087015450791e-33	3	7.23087015450791e-33
<https://identifiers.org/wikipathways/WP3679_r117678>	WP3679	Cell-type dependent selectivity of CCK2R signaling	13	2	9.02632832197287e-27	2	1.09778660278152e-26	2	4.78580527004663e-27	2	2.27329527794692e-26	2	8.91040469104683e-27	2	1.20423550567039e-26	2	2.64205153697754e-27	2	2.64205153697754e-27
<https://identifiers.org/wikipathways/WP368_r117795>	WP368	Mitochondrial long chain fatty acid beta-oxidation	17	3	3.44917016054713e-32	3	4.42393925679112e-32	3	1.53924020908608e-32	3	1.11633467486049e-31	3	3.39294008466459e-32	3	4.97643760051659e-32	3	7.23087015450791e-33	3	7.23087015450791e-33
<https://identifiers.org/wikipathways/WP3680_r117651>	WP3680	Physico-chemical features and toxicity-associated pathways	67	7	4.42520289009226e-104	7	1.26768170209461e-103	7	1.45716675409253e-105	7	6.33627539406359e-102	7	4.12804672634205e-104	7	2.08491475365194e-103	7	5.94881667370721e-107	7	5.94881667370721e-107
<https://identifiers.org/wikipathways/WP382_r119087>	WP382	MAPK signaling pathway	249	27	1.31029855586254e-261	27	5.41991780909011e-260	27	7.34516458123837e-267	27	5.39018150445209e-254	27	1.02460005542795e-261	27	3.14634801232297e-259	27	8.59610705724208e-272	27	8.59610705724208e-272
<https://identifiers.org/wikipathways/WP383_r118423>	WP383	Striated muscle contraction pathway	38	3	5.74282667087255e-70	3	1.06585679001753e-69	3	7.73214368454602e-71	3	1.06221855214998e-68	3	5.51300572342621e-70	3	1.42782750142356e-69	3	1.18198826685962e-71	3	1.18198826685962e-71
<https://identifiers.org/wikipathways/WP384_r121706>	WP384	Apoptosis modulation by HSP70	20	2	8.24868527261528e-41	2	1.13553208274304e-40	2	2.92665834116277e-41	2	3.72736179331358e-40	2	8.07639370756934e-41	2	1.32078746745235e-40	2	1.10907889464128e-41	2	1.10907889464128e-41
<https://identifiers.org/wikipathways/WP3844_r107714>	WP3844	PI3K-AKT-mTOR signaling pathway and therapeutic opportunities	30	5	3.40705337594743e-51	5	5.30615796699976e-51	5	8.10216196844094e-52	5	2.75542493232372e-50	5	3.30881594714564e-51	5	6.54256027864477e-51	5	2.11061043754064e-52	5	2.11061043754064e-52
<https://identifiers.org/wikipathways/WP3845_r116460>	WP3845	Canonical and non-canonical Notch signaling	29	3	1.3197960007544e-54	3	2.09192113818244e-54	3	2.96456713078699e-55	3	1.15969062808239e-53	3	1.28025380040459e-54	3	2.60089854050687e-54	3	7.32088254436557e-56	3	7.32088254436557e-56
<https://identifiers.org/wikipathways/WP3850_r121711>	WP3850	Factors and pathways affecting insulin-like growth factor (IGF1)-Akt signaling	39	2	2.24112775889497e-74	2	4.30745598711372e-74	2	2.69400156248706e-75	2	4.88821995498601e-73	2	2.14647902624631e-74	2	5.86643252087168e-74	2	3.7030540504033e-76	2	3.7030540504033e-76
<https://identifiers.org/wikipathways/WP3851_r121712>	WP3851	TLR4 signaling and tolerance	29	2	2.29929616856162e-57	2	3.70908003223837e-57	3	2.96456713078699e-55	2	2.1949980342253e-56	2	2.22781983829105e-57	3	2.60089854050687e-54	2	1.14210336105551e-58	3	7.32088254436557e-56
<https://identifiers.org/wikipathways/WP3853_r120593>	WP3853	ERK pathway in Huntington's disease	15	1	7.60846358944202e-34	1	9.75868953703897e-34	1	3.39538281416043e-34	1	2.46250295925109e-33	1	7.48442665734825e-34	1	1.09774358834925e-33	1	1.5950448870238e-34	1	1.5950448870238e-34
<https://identifiers.org/wikipathways/WP3858_r117850>	WP3858	Toll-like receptor signaling related to MyD88	31	2	7.19872072251074e-61	2	1.2027594804852e-60	2	1.36298514002564e-61	2	8.11030103445149e-60	2	6.95878028989097e-61	2	1.53311834329883e-60	2	2.86782440743483e-62	2	2.86782440743483e-62
<https://identifiers.org/wikipathways/WP3859_r117840>	WP3859	TGF-beta signaling in thyroid cells for epithelial-mesenchymal transition	19	2	7.06499893599491e-39	2	9.55550247628267e-39	2	2.65447911543466e-39	2	2.93716109313104e-38	2	6.9255076042408e-39	2	1.10219714158899e-38	2	1.06138850217171e-39	2	1.06138850217171e-39
<https://identifiers.org/wikipathways/WP3863_r121717>	WP3863	T-cell antigen receptor (TCR) pathway during Staphylococcus aureus infection	66	4	4.49553523920749e-110	4	1.33297371246324e-109	4	1.323720006281e-111	4	7.57210580111022e-108	4	4.18412245503081e-110	4	2.22828979492298e-109	4	4.86599394598435e-113	4	4.86599394598435e-113
<https://identifiers.org/wikipathways/WP3865_r106524>	WP3865	Novel intracellular components of RIG-I-like receptor (RLR) pathway	60	2	7.83188487895129e-107	2	2.1675193366576e-106	3	1.78256761815581e-105	2	9.53123066237651e-105	2	7.32263311948849e-107	3	1.99793625824173e-103	2	1.30789414470468e-109	3	8.51875052917656e-107
<https://identifiers.org/wikipathways/WP3869_r118463>	WP3869	Cannabinoid receptor signaling	31	5	6.13705140350786e-53	5	9.72743329254822e-53	5	1.37852371581596e-53	5	5.39256142058309e-52	5	5.95318017188129e-53	5	1.20941782133564e-52	5	3.40421038313003e-54	5	3.40421038313003e-54
<https://identifiers.org/wikipathways/WP3872_r116648>	WP3872	Regulation of apoptosis by parathyroid hormone-related protein	22	2	1.29643804441838e-44	2	1.84884027089407e-44	2	4.10224437087301e-45	2	6.9199798936023e-44	2	1.26640284828159e-44	2	2.18666369223131e-44	2	1.39649740627035e-45	2	1.39649740627035e-45
<https://identifiers.org/wikipathways/WP3874_r116461>	WP3874	Canonical and non-canonical TGF-B signaling	17	3	3.44917016054713e-32	3	4.42393925679112e-32	3	1.53924020908608e-32	3	1.11633467486049e-31	3	3.39294008466459e-32	3	4.97643760051659e-32	3	7.23087015450791e-33	3	7.23087015450791e-33
<https://identifiers.org/wikipathways/WP3875_r117657>	WP3875	ATR signaling	9	1	5.21430990371474e-21	1	6.01277451794975e-21	1	3.28564653256124e-21	1	1.02142518135732e-20	1	5.16547846901553e-21	1	6.43180516175554e-21	1	2.13217362294992e-21	1	2.13217362294992e-21
<https://identifiers.org/wikipathways/WP3876_r116398>	WP3876	BMP2-WNT4-FOXO1 pathway in primary endometrial stromal cell differentiation	13	3	5.1329720390952e-24	3	6.13296782087275e-24	3	2.88265004099145e-24	3	1.18893343036624e-23	3	5.0729904041027e-24	3	6.67146470141401e-24	3	1.67946409367207e-24	3	1.67946409367207e-24
<https://identifiers.org/wikipathways/WP3877_r117828>	WP3877	MYD88 distinct input-output pathway	18	3	3.63070543215484e-34	3	4.73993491799039e-34	3	1.52989087595523e-34	3	1.27743319437309e-33	3	3.56734354696044e-34	3	5.37670328987387e-34	3	6.81086670754278e-35	3	6.81086670754278e-35
<https://identifiers.org/wikipathways/WP3878_r117656>	WP3878	ATM signaling in development and disease 	46	2	1.27234592274999e-85	2	2.76283128952081e-85	2	1.02948534061509e-86	2	4.93399252693674e-84	2	1.20882900843683e-85	2	3.98619287338225e-85	2	9.76425117340639e-88	2	9.76425117340639e-88
<https://identifiers.org/wikipathways/WP3879_r120671>	WP3879	4-hydroxytamoxifen, dexamethasone, and retinoic acids regulation of p27 expression	18	4	1.55212657224619e-31	4	1.99077266555597e-31	4	6.92658094088733e-32	4	5.02350603687214e-31	4	1.52682303809906e-31	4	2.23939692023246e-31	4	3.25389156952851e-32	4	3.25389156952851e-32
<https://identifiers.org/wikipathways/WP3888_r116782>	WP3888	VEGFA-VEGFR2 signaling pathway	435	76	0	76	0	78	0	76	2.33301496591068e-314	76	0	78	1.09722098628424e-319	76	0	78	0
<https://identifiers.org/wikipathways/WP3890_r116457>	WP3890	Nanomaterial-induced inflammasome activation	10	3	1.47999496100436e-17	3	1.67656196142165e-17	3	9.87884390790066e-18	3	2.66591972334265e-17	3	1.46785679827857e-17	3	1.77839412722538e-17	3	6.76609763016104e-18	3	6.76609763016104e-18
<https://identifiers.org/wikipathways/WP3892_r120069>	WP3892	Development of pulmonary dendritic cells and macrophage subsets	13	1	1.05756629431435e-29	1	1.30922671768818e-29	1	5.2940323783702e-30	1	2.89591755152473e-29	1	1.04276239801604e-29	1	1.44826879816044e-29	1	2.76944605553207e-30	1	2.76944605553207e-30
<https://identifiers.org/wikipathways/WP3893_r118859>	WP3893	Development and heterogeneity of the ILC family	32	5	1.14045089960658e-54	5	1.83970369599021e-54	5	2.41978929819586e-55	5	1.08871902497575e-53	5	1.10499863979237e-54	5	2.30639870576527e-54	5	5.66483267083536e-56	5	5.66483267083536e-56
<https://identifiers.org/wikipathways/WP391_r117794>	WP391	Mitochondrial gene expression	19	1	8.24868527261532e-42	1	1.13553208274302e-41	1	2.92665834116278e-42	1	3.72736179331351e-41	1	8.07639370756939e-42	1	1.32078746745236e-41	1	1.10907889464129e-42	1	1.10907889464129e-42
<https://identifiers.org/wikipathways/WP3915_r122574>	WP3915	Angiopoietin-like protein 8 regulatory pathway	134	11	4.00242980486112e-179	11	3.3317728783895e-178	11	4.12547251827709e-182	11	8.72625610083603e-175	11	3.47958401564951e-179	11	9.07115723069704e-178	11	6.51874470471749e-185	11	6.51874470471749e-185
<https://identifiers.org/wikipathways/WP3924_r96137>	WP3924	Hfe effect on hepcidin production	7	1	2.09912618635786e-16	1	2.3360096662475e-16	1	1.4842962971621e-16	1	3.47680363919266e-16	1	2.08435665355559e-16	1	2.45714788578309e-16	1	1.07299031584971e-16	1	1.07299031584971e-16
<https://identifiers.org/wikipathways/WP3925_r117062>	WP3925	Amino acid metabolism	94	8	6.02060166504043e-138	8	2.69097746524123e-137	9	9.78254504731932e-138	8	7.01497549394243e-135	8	5.45366606155427e-138	9	1.05401324426348e-134	8	4.92712610544857e-142	9	1.08506266011106e-139
<https://identifiers.org/wikipathways/WP3926_r106298>	WP3926	ApoE and miR-146 in inflammation and atherosclerosis	9	1	5.21430990371474e-21	1	6.01277451794975e-21	1	3.28564653256124e-21	1	1.02142518135732e-20	1	5.16547846901553e-21	1	6.43180516175554e-21	1	2.13217362294992e-21	1	2.13217362294992e-21
<https://identifiers.org/wikipathways/WP3927_r117666>	WP3927	BMP signaling in eyelid development	20	3	4.70999929066328e-38	3	6.37033498418848e-38	3	1.76965274362308e-38	3	1.95810739542073e-37	3	4.61700506949384e-38	3	7.34798094392669e-38	3	7.07592334781133e-39	3	7.07592334781133e-39
<https://identifiers.org/wikipathways/WP3929_r119247>	WP3929	Chemokine signaling pathway	166	27	4.32045763190133e-182	27	4.68771759888089e-181	27	1.88227079468803e-185	27	3.27960396648671e-177	27	3.69086954695558e-182	27	1.44647867641478e-180	27	1.32405750662573e-188	27	1.32405750662573e-188
<https://identifiers.org/wikipathways/WP3931_r117717>	WP3931	Embryonic stem cell pluripotency pathways	116	12	4.42120216125811e-156	12	2.67855763212868e-155	12	1.27936790012496e-158	12	2.15871132893811e-152	12	3.92520050427011e-156	12	6.27616206375944e-155	12	5.33064952398083e-161	12	5.33064952398083e-161
<https://identifiers.org/wikipathways/WP3932_r120304>	WP3932	Focal adhesion: PI3K-Akt-mTOR-signaling pathway	302	57	2.0737546685682e-256	57	1.23012357759501e-254	57	3.59430791320137e-262	57	4.64373034025953e-248	57	1.58339878014782e-256	57	8.46597033831476e-254	57	1.39183792638961e-267	57	1.39183792638961e-267
<https://identifiers.org/wikipathways/WP3933_r116372>	WP3933	Kennedy pathway from sphingolipids	14	1	8.66857618290436e-32	1	1.0923226488459e-31	1	4.09709526242026e-32	1	2.58070310129512e-31	1	8.53723600714867e-32	1	1.21849538306767e-31	1	2.0310238228103e-32	1	2.0310238228103e-32
<https://identifiers.org/wikipathways/WP3935_r118425>	WP3935	Leptin-insulin signaling overlap	17	4	1.47365795109374e-29	4	1.85694850303806e-29	4	6.9650619461145e-30	4	4.3871952722017e-29	4	1.45133012121528e-29	4	2.07144215121504e-29	4	3.45274049877754e-30	4	3.45274049877754e-30
<https://identifiers.org/wikipathways/WP3937_r120792>	WP3937	Microglia pathogen phagocytosis pathway	40	11	3.57892751235664e-54	11	5.97965827733189e-54	11	6.77623872991367e-55	11	4.03213023876946e-53	11	3.45963834297066e-54	11	7.62207568543791e-54	11	1.42577217091932e-55	11	1.42577217091932e-55
<https://identifiers.org/wikipathways/WP3940_r119248>	WP3940	One-carbon metabolism and related pathways	52	4	1.68969803344414e-89	4	3.93318682684688e-89	4	1.09115878590161e-90	4	9.09363412519926e-88	4	1.59799301622978e-89	4	5.86431117120948e-89	4	8.3770782809013e-92	4	8.3770782809013e-92
<https://identifiers.org/wikipathways/WP3941_r117040>	WP3941	Oxidative damage response	40	8	6.89074007936328e-61	8	1.21348431631601e-60	8	1.10003975489222e-61	8	9.94943058662813e-60	8	6.63796300021444e-61	8	1.58573506816781e-60	8	1.97260577952004e-62	8	1.97260577952004e-62
<https://identifiers.org/wikipathways/WP3942_r106517>	WP3942	PPAR signaling pathway	68	9	7.3347737903281e-101	9	2.06526477299588e-100	9	2.55425141250705e-102	9	9.68253283272869e-99	9	6.8500348705063e-101	9	3.36910641330411e-100	9	1.0989447335228e-103	9	1.0989447335228e-103
<https://identifiers.org/wikipathways/WP3943_r117818>	WP3943	Robo4 and VEGF signaling pathways crosstalk	6	2	4.3357451379222e-11	2	4.65628463881452e-11	2	3.44081297957319e-11	2	6.07082696694489e-11	2	4.31537161890774e-11	2	4.81599581528983e-11	2	2.77115230785602e-11	2	2.77115230785602e-11
<https://identifiers.org/wikipathways/WP3944_r120596>	WP3944	Serotonin and anxiety-related events	13	3	5.1329720390952e-24	3	6.13296782087275e-24	3	2.88265004099145e-24	3	1.18893343036624e-23	3	5.0729904041027e-24	3	6.67146470141401e-24	3	1.67946409367207e-24	3	1.67946409367207e-24
<https://identifiers.org/wikipathways/WP3945_r116679>	WP3945	TYROBP causal network in microglia	60	12	8.73393254570849e-83	12	2.03303713180808e-82	12	5.64012447436932e-84	12	4.70043673323991e-81	12	8.2599156393742e-83	12	3.03122198065115e-82	12	4.33005396155784e-85	12	4.33005396155784e-85
<https://identifiers.org/wikipathways/WP3947_r106483>	WP3947	Serotonin and anxiety	17	2	6.0511757202581e-35	2	7.89989152998412e-35	2	2.54981812659205e-35	2	2.12905532395515e-34	2	5.94557257826735e-35	2	8.96117214978988e-35	2	1.13514445125714e-35	2	1.13514445125714e-35
<https://identifiers.org/wikipathways/WP395_r120704>	WP395	IL-4 signaling pathway	53	4	5.13497682181996e-91	4	1.21621296279393e-90	4	3.13449407332175e-92	4	2.9991450444029e-89	4	4.85072335968973e-91	4	1.82828524749467e-90	4	2.28269999428157e-93	4	2.28269999428157e-93
<https://identifiers.org/wikipathways/WP3953_r106206>	WP3953	mRNA, protein, and metabolite inducation pathway by cyclosporin A	8	2	8.39650474543144e-16	2	9.34403866498999e-16	2	5.93718518864845e-16	2	1.39072145567707e-15	2	8.33742661422241e-16	2	9.82859154313241e-16	2	4.29196126339885e-16	2	4.29196126339885e-16
<https://identifiers.org/wikipathways/WP3958_r117148>	WP3958	GPR40 pathway	15	3	3.70148203010017e-28	3	4.58229351190859e-28	3	1.85291133242956e-28	3	1.01357114303365e-27	3	3.64966839305608e-28	3	5.06894079356153e-28	3	9.6930611943622e-29	3	9.6930611943622e-29
<https://identifiers.org/wikipathways/WP3959_r118468>	WP3959	DNA IR-double strand breaks and cellular response via ATM	57	5	1.82917492650164e-94	5	4.56359664899302e-94	5	9.43226994912602e-96	5	1.36514515693208e-92	5	1.72199423078746e-94	5	7.03096223551319e-94	5	5.864087276713e-97	5	5.864087276713e-97
